ItemCode,DiscountPrice,OriginalPrice,GiftCode
12869-22,"$1,009.99","$1,039.99",B
12869-24,"$1,087.99","$1,119.99",B
12870-16,$500.99,$519.99,0
12870-18,$557.99,$579.99,0
12870-20,$576.99,$599.99,0
12870-22,$631.99,$649.99,A
12870-24,$670.99,$689.99,A
12882-6,$631.99,$649.99,A
12898,$327.99,$339.99,0
12921,$375.99,$389.99,0
12936,$413.99,$429.99,0
13262-14,$650.99,$669.99,A
13262-16,$747.99,$769.99,A
13262-18,$825.99,$849.99,A
13262-20,$912.99,$939.99,A
13262-22,$970.99,$999.99,A
13262-24,"$1,067.99","$1,099.99",B
13263-16,$961.99,$989.99,A
13263-18,"$1,067.99","$1,099.99",B
13263-20,"$1,203.99","$1,239.99",B
13263-22,"$1,320.99","$1,359.99",B
13263-24,"$1,446.99","$1,489.99",B
13393-8,"$1,572.99","$1,619.99",B
13393-9,"$1,814.99","$1,869.99",B
13413-8,"$2,794.99","$2,879.99",C
13413-9,"$3,027.99","$3,119.99",C
13440,$365.99,$379.99,0
13559,$181.99,$189.99,0
13569,$679.99,$699.99,A
13585,$728.99,$749.99,A
13606,$844.99,$869.99,A
13667,"$2,445.99","$2,519.99",C
13728,$308.99,$319.99,0
13849,$413.99,$429.99,0
13988,$152.99,$159.99,0
14001,$181.99,$189.99,0
