ItemCode,DiscountPrice,OriginalPrice,GiftCode
207049-C,$308.99,$319.99,0
207049-D,$308.99,$319.99,0
207049-E,$308.99,$319.99,0
207049-F,$308.99,$319.99,0
207049-G,$308.99,$319.99,0
207049-H,$308.99,$319.99,0
207049-I,$308.99,$319.99,0
207049-J,$308.99,$319.99,0
207049-K,$308.99,$319.99,0
207049-L,$308.99,$319.99,0
207049-M,$308.99,$319.99,0
207049-N,$308.99,$319.99,0
207049-O,$308.99,$319.99,0
207049-P,$308.99,$319.99,0
207049-R,$308.99,$319.99,0
207049-S,$308.99,$319.99,0
207049-T,$308.99,$319.99,0
207049-U,$308.99,$319.99,0
207049-V,$308.99,$319.99,0
207049-Y,$308.99,$319.99,0
207074-7,$922.99,$949.99,A
207074-8,"$1,067.99","$1,099.99",B
207079-8,"$1,814.99","$1,869.99",B
207079-9,"$1,979.99","$2,039.99",C
207087-8,"$2,212.99","$2,279.99",C
207087-9,"$2,328.99","$2,399.99",C
207093-8,"$1,213.99","$1,249.99",B
207093-9,"$1,455.99","$1,499.99",B
207095-8,"$1,455.99","$1,499.99",B
207095-9,"$1,640.99","$1,689.99",B
207132-18,"$1,766.99","$1,819.99",B
207132-20,"$1,863.99","$1,919.99",B
207132-22,"$2,057.99","$2,119.99",C
207132-24,"$2,193.99","$2,259.99",C
207202-7,"$1,329.99","$1,369.99",B
207202-8,"$1,523.99","$1,569.99",B
207219-18,"$1,261.99","$1,299.99",B
207219-20,"$1,310.99","$1,349.99",B
207219-22,"$1,446.99","$1,489.99",B
207219-24,"$1,543.99","$1,589.99",B
207229,"$2,212.99","$2,279.99",C
21008,$219.99,$229.99,0
21134,$285.99,$299.99,0
21217,$461.99,$479.99,0
21226,$471.99,$489.99,0
21228,$375.99,$389.99,0
21311,$219.99,$229.99,0
21319,$285.99,$299.99,0
21429-16,$336.99,$349.99,0
21429-18,$375.99,$389.99,0
21429-20,$423.99,$439.99,0
21429-22,$461.99,$479.99,0
21429-24,$500.99,$519.99,0
21432-16,$718.99,$739.99,A
21432-18,$776.99,$799.99,A
21432-20,$873.99,$899.99,A
21432-22,$961.99,$989.99,A
21432-24,"$1,019.99","$1,049.99",B
21526-16,$844.99,$869.99,A
21526-18,$941.99,$969.99,A
21526-20,"$1,058.99","$1,089.99",B
21526-22,"$1,164.99","$1,199.99",B
21526-24,"$1,261.99","$1,299.99",B
21582,$452.99,$469.99,0
21622-10,$548.99,$569.99,0
21622-11,$576.99,$599.99,0
21622-12,$576.99,$599.99,0
21622-6,$528.99,$549.99,0
21622-7,$528.99,$549.99,0
21622-8,$528.99,$549.99,0
21622-9,$548.99,$569.99,0
21624-10,$631.99,$649.99,A
21624-11,$670.99,$689.99,A
21624-12,$670.99,$689.99,A
21624-6,$602.99,$619.99,A
21624-7,$602.99,$619.99,A
21624-8,$602.99,$619.99,A
21624-9,$631.99,$649.99,A
21630,$114.99,$119.99,0
21678,$124.99,$129.99,0
21703,$162.99,$169.99,0
21721,$181.99,$189.99,0
21722,$181.99,$189.99,0
21723,$162.99,$169.99,0
21729,$181.99,$189.99,0
21737,$171.99,$179.99,0
21738,$171.99,$179.99,0
21800,$276.99,$289.99,0
21801,$276.99,$289.99,0
21839,$162.99,$169.99,0
22041,$152.99,$159.99,0
22089,$181.99,$189.99,0
22090,$247.99,$259.99,0
22203,$247.99,$259.99,0
22221-16,$670.99,$689.99,A
22221-18,$728.99,$749.99,A
22221-20,$776.99,$799.99,A
22221-22,$873.99,$899.99,A
22221-24,$961.99,$989.99,A
22222-16,$528.99,$549.99,0
22222-18,$576.99,$599.99,0
22222-20,$631.99,$649.99,A
22222-22,$670.99,$689.99,A
22222-24,$728.99,$749.99,A
22242-16,$480.99,$499.99,0
22242-18,$548.99,$569.99,0
22242-20,$621.99,$639.99,A
22242-22,$650.99,$669.99,A
22242-24,$699.99,$719.99,A
22244-16,$500.99,$519.99,0
22244-18,$557.99,$579.99,0
22244-20,$631.99,$649.99,A
22244-22,$670.99,$689.99,A
22244-24,$728.99,$749.99,A
22380-16,$346.99,$359.99,0
22380-18,$404.99,$419.99,0
22380-20,$452.99,$469.99,0
22380-22,$480.99,$499.99,0
22380-24,$538.99,$559.99,0
22381-16,$557.99,$579.99,0
22381-18,$602.99,$619.99,A
22381-20,$641.99,$659.99,A
22381-22,$699.99,$719.99,A
22381-24,$776.99,$799.99,A
22490-10,$670.99,$689.99,A
22490-11,$679.99,$699.99,A
22490-12,$679.99,$699.99,A
22490-6,$631.99,$649.99,A
22490-7,$631.99,$649.99,A
22490-8,$631.99,$649.99,A
22490-9,$670.99,$689.99,A
22493-10,$670.99,$689.99,A
22493-11,$679.99,$699.99,A
22493-12,$679.99,$699.99,A
22493-6,$631.99,$649.99,A
22493-7,$631.99,$649.99,A
22493-8,$631.99,$649.99,A
22493-9,$670.99,$689.99,A
22501-10,$404.99,$419.99,0
22501-11,$423.99,$439.99,0
22501-12,$423.99,$439.99,0
22501-6,$365.99,$379.99,0
22501-7,$365.99,$379.99,0
22501-8,$365.99,$379.99,0
22501-9,$404.99,$419.99,0
22506-10,$423.99,$439.99,0
22506-11,$471.99,$489.99,0
22506-12,$471.99,$489.99,0
22506-6,$404.99,$419.99,0
22506-7,$404.99,$419.99,0
22506-8,$404.99,$419.99,0
22506-9,$423.99,$439.99,0
22528,$247.99,$259.99,0
22637,$471.99,$489.99,0
22696,$247.99,$259.99,0
22739,$336.99,$349.99,0
22759,$285.99,$299.99,0
22764,$276.99,$289.99,0
22764-N,$423.99,$439.99,0
22765,$285.99,$299.99,0
22765-N,$432.99,$449.99,0
22845,$209.99,$219.99,0
22930,$327.99,$339.99,0
22939,$285.99,$299.99,0
22966,$171.99,$179.99,0
22972,$528.99,$549.99,0
22980-10,$576.99,$599.99,0
22980-11,$641.99,$659.99,A
22980-12,$641.99,$659.99,A
22980-6,$557.99,$579.99,0
22980-7,$557.99,$579.99,0
22980-8,$557.99,$579.99,0
22980-9,$576.99,$599.99,0
22981-10,$576.99,$599.99,0
22981-11,$602.99,$619.99,A
22981-12,$602.99,$619.99,A
22981-6,$538.99,$559.99,0
22981-7,$538.99,$559.99,0
22981-8,$538.99,$559.99,0
22981-9,$576.99,$599.99,0
23003,$308.99,$319.99,0
23024,$219.99,$229.99,0
23054-6,$631.99,$649.99,A
23123,$471.99,$489.99,0
23152-7,$776.99,$799.99,A
23152-8,$932.99,$959.99,A
23161-7,$922.99,$949.99,A
23161-8,"$1,067.99","$1,099.99",B
23171-16,$844.99,$869.99,A
23171-18,$970.99,$999.99,A
23171-20,"$1,029.99","$1,059.99",B
23171-22,"$1,126.99","$1,159.99",B
23171-24,"$1,213.99","$1,249.99",B
23178-18,$728.99,$749.99,A
23178-20,$776.99,$799.99,A
23178-22,$844.99,$869.99,A
23178-24,$922.99,$949.99,A
23196,$679.99,$699.99,A
23730,$308.99,$319.99,0
24004,$404.99,$419.99,0
24005,$602.99,$619.99,A
24152,$181.99,$189.99,0
24159,$404.99,$419.99,0
24180,$152.99,$159.99,0
24181,$190.99,$199.99,0
24202,$404.99,$419.99,0
24206,$461.99,$479.99,0
24250,$471.99,$489.99,0
24276,$171.99,$179.99,0
24278,$336.99,$349.99,0
24294,$641.99,$659.99,A
24296,$825.99,$849.99,A
24317,$631.99,$649.99,A
24328,$528.99,$549.99,0
24335,$576.99,$599.99,0
24337,$670.99,$689.99,A
24377,$500.99,$519.99,0
24388,$404.99,$419.99,0
24389,$452.99,$469.99,0
24390,$375.99,$389.99,0
24421,$679.99,$699.99,A
24422,$538.99,$559.99,0
24438,$452.99,$469.99,0
24486,$413.99,$429.99,0
24506,$336.99,$349.99,0
24581,$404.99,$419.99,0
24586,$247.99,$259.99,0
24601,$247.99,$259.99,0
24681,$413.99,$429.99,0
24693,$404.99,$419.99,0
24695,$308.99,$319.99,0
24712,$375.99,$389.99,0
24721,$327.99,$339.99,0
24722,$238.99,$249.99,0
24726,$285.99,$299.99,0
24731,$247.99,$259.99,0
24738,$336.99,$349.99,0
24872,$219.99,$229.99,0
24899,$219.99,$229.99,0
24929,$152.99,$159.99,0
25069,$209.99,$219.99,0
25146,$452.99,$469.99,0
25149,$308.99,$319.99,0
25161,$276.99,$289.99,0
25164,$276.99,$289.99,0
25306,$679.99,$699.99,A
25368,$276.99,$289.99,0
25446,$247.99,$259.99,0
25453,$728.99,$749.99,A
25489,$336.99,$349.99,0
25506,$308.99,$319.99,0
25527,$528.99,$549.99,0
25547,$500.99,$519.99,0
25591,$375.99,$389.99,0
25603,$247.99,$259.99,0
25612,$285.99,$299.99,0
25613,$247.99,$259.99,0
25614,$308.99,$319.99,0
25617,$276.99,$289.99,0
25619,$327.99,$339.99,0
25621,$285.99,$299.99,0
25626,$365.99,$379.99,0
25628,$452.99,$469.99,0
25635,$528.99,$549.99,0
25729,"$2,784.99","$2,869.99",C
25732,$423.99,$439.99,0
25735,$970.99,$999.99,A
25746,$631.99,$649.99,A
25749,$423.99,$439.99,0
25776,$767.99,$789.99,A
25935,$423.99,$439.99,0
