ItemRoot,UnitsLast365,Last365DaysSales,ItemAvgWeight,CountOnHand
22041,20.0,"$3,199.80",0.330,20
22089,4.0,$759.96,0.500,9
22090,20.5,"$5,329.80",0.700,23
22203,2.0,$519.98,1.000,15
22221,27.5,"$21,503.95",3.294,24
22222,7.5,"$4,798.33",2.290,34
22242,28.5,"$17,606.72",2.178,95
22244,2.0,"$1,285.64",2.605,152
22380,1.5,$820.77,1.860,32
22381,3.5,"$2,378.97",2.758,70
22490,30.0,"$20,375.70",3.117,25
22493,22.0,"$14,752.72",3.208,34
22501,148.0,"$60,871.56",1.726,60
22506,57.5,"$25,402.93",1.564,20
22528,14.0,"$3,639.86",0.800,15
22637,1.0,$489.99,1.800,12
22696,11.0,"$2,859.89",0.810,1
22739,2.0,$699.98,1.300,168
22759,1.0,$299.99,1.200,24
22764,4.0,"$1,159.96",1.200,17
22765,9.5,"$2,849.91",1.300,18
22845,11.0,"$2,419.89",0.800,5
22930,4.0,"$1,359.96",1.300,11
22939,13.5,"$4,049.87",1.000,9
22966,26.5,"$4,769.74",0.720,16
22972,3.0,"$1,649.97",2.200,20
22980,39.5,"$23,622.53",2.475,21
22981,22.0,"$12,933.11",2.341,23
23003,0.5,$160.00,1.200,22
23024,10.5,"$2,414.90",0.940,6
23046,4.0,"$2,599.96",2.840,8
23054,1.0,$649.99,2.660,31
23123,1.0,$489.99,2.000,8
23146,16.5,"$18,356.09",4.688,6
23152,24.5,"$20,312.48",4.054,11
23161,34.0,"$33,149.66",4.588,12
23171,97.5,"$105,539.44",4.738,73
23178,9.5,"$8,053.31",3.606,4
23196,5.5,"$3,849.95",3.440,17
23730,5.0,"$1,599.95",1.300,7
24004,9.5,"$3,989.91",1.600,2
24005,4.0,"$2,479.96",2.800,9
24152,22.5,"$4,274.78",0.600,10
24159,4.0,"$1,679.96",1.410,10
24180,70.0,"$11,199.30",0.420,634
24181,28.5,"$5,699.72",0.800,15
24202,3.0,"$1,259.97",1.310,19
24206,10.5,"$5,039.90",1.900,0
24250,4.0,"$1,959.96",2.100,11
24276,38.0,"$6,839.62",0.500,20
24278,12.0,"$4,199.88",1.200,4
24294,4.0,"$2,639.96",3.100,18
24296,0.0,$0.00,4.100,12
24317,4.0,"$2,599.96",3.000,17
24328,8.5,"$4,674.92",2.310,30
24335,0.5,$300.00,2.700,12
24337,0.5,$345.00,3.370,20
24377,4.0,"$2,079.96",2.200,11
24388,4.5,"$1,889.96",1.450,13
24389,4.5,"$2,114.96",1.900,28
24390,9.0,"$3,509.91",1.500,2
24421,1.0,$699.99,3.600,4
24422,2.0,"$1,119.98",2.600,6
24438,0.5,$235.00,1.800,16
24486,29.0,"$12,469.71",1.600,20
24506,1.0,$349.99,1.340,25
24581,7.5,"$3,149.93",1.610,0
24586,12.5,"$3,249.88",0.700,23
24601,17.5,"$4,549.83",0.910,18
24681,4.0,"$1,719.96",1.000,15
24693,4.0,"$1,679.96",1.600,15
24695,3.5,"$1,119.97",1.200,12
24712,0.5,$195.00,1.500,13
24721,3.0,"$1,019.97",1.220,0
24722,6.0,"$1,499.94",0.800,0
24726,11.5,"$3,449.89",0.900,0
24731,3.0,$779.97,0.700,0
24738,4.5,"$1,574.96",1.300,0
24872,3.5,$804.97,1.200,16
24899,2.5,$574.98,0.600,24
24929,0.5,$80.00,0.420,13
25069,4.5,$989.96,0.800,18
25146,3.5,"$1,644.97",1.800,14
25149,0.0,$0.00,1.100,11
25161,0.5,$145.00,1.000,12
25164,0.5,$145.00,0.900,14
25306,6.0,"$4,199.94",3.150,0
25368,7.0,"$2,029.93",1.040,0
25446,5.5,"$1,429.95",0.930,4
25453,0.5,$375.00,3.610,11
25489,5.0,"$1,749.95",1.300,10
25506,4.0,"$1,279.96",1.000,11
25527,1.5,$824.99,2.310,7
25547,3.0,"$1,559.97",2.410,2
